Deal Registration: Deal Registration Name,Deal Registration: Created Date,Opportunity Owner,Inside Sales Rep,Sales Territory,Account Name,Billing Country,Partner Account,Opportunity Type,Stage,Amount (converted),Close Date
DR-1408,2025-03-14,Tom Whitfield,Priya Raman,UKI & Nordics,Account 208 SpA,United Kingdom,Computacenter,Add-On,0 - Closed Lost,"EUR 147,000.00",2025-08-07
DR-1730,12 Jul 2025,Sofia Almeida,Paulo Neves,Southern Europe,Account 130 GmbH,France,SHI EMEA,Existing Business - Add-On,7 - Closed Won,"$172,000",2026-01-03
DR-2195,2026-03-21,Aoife Brennan,Dan Eriksen,UKI & Nordics,Account 195 SAS,Finland,Ingram Micro,Migration,5 - Proposal,"$57,000",2026-06-22
DR-1687,2025-06-03,Stefan Huber,Lena Wirth,DACH,Account 087 Group,Germany,Bechtle AG,Existing Business - Add-On,0 - Closed Lost,"$173,000",2025-12-17
DR-1264,2025-01-18,Tom Whitfield,Dan Eriksen,Nordics,Account 064 GmbH,Denmark,Computacenter,New Business,6 - Negotiation,,2025-04-25
DR-2575,2026-08-03,Callum Reid,,EMEA - UKI & Nordics - Commercial,Account 175 SpA,Denmark,Bechtle AG,Add-On,3 - Discovery,"$196,000",2026-11-11
DR-2096,2026-01-09,Lukas Brandt,Lena Wirth,dach pod,Account 096 SAS,Austria,Bechtle AG,New Logo,2 - Approved,79000,2026-07-01
DR-2321,2026-04-17,Julien Marchand,Paulo Neves,Southern Europe,Account 321 AB,Spain,Northbridge Data,Renewal,0 - Closed Lost,"EUR 238,000.00",2026-07-19
DR-1649,2025-06-25,Niamh O'Connor,,EMEA - UKI & Nordics - Commercial,Account 049 SAS,Finland,Ingram Micro,New Business,7 - Closed Won,"EUR 136,000.00",2025-08-03
DR-2237,2026-03-01,Sofia Almeida,Paulo Neves,SEMEA,Account 237 Group,Israel,Bechtle AG,Add-On,0 - Closed Lost,220000,2026-04-19
DR-1132,2024-10-20,Jonas Richter,,EMEA - DACH - Enterprise,Account 332 Holdings,Switzerland,Cancom,New Business,0 - Closed Lost,126000,2025-03-04
DR-2269,2026-03-08,Katharina Vogel,,DACH,Account 269 GmbH,Germany,Arrow ECS,Existing Business - Renewal,7 - Closed Won,177000,2026-05-27
DR-1767,2025-08-14,Sigrid Halvorsen,,EMEA - UKI & Nordics - Commercial,Account 167 SpA,Finland,Cancom,Migration,0 - Closed Lost,,2025-12-11
DR-2394,14 May 2026,Julien Marchand,Paulo Neves,Iberia,Account 394 Group,Greece,Arrow ECS,New Logo,7 - Closed Won,43000,2026-08-20
DR-2675,2024-01-03,Lukas Brandt,Tobias Frank,DACH,Old Account 021,Germany,Arrow ECS,New Business,7 - Closed Won,120000,2024-09-30
DR-1714,08 Jul 2025,Aoife Brennan,Mollie Shaw,UKI/Nordics,Account 114 SpA,Ireland,Econocom,Existing Business - Renewal,7 - Closed Won,"EUR 23,000.00",2025-09-27
DR-2240,2026-03-09,Elena Castells,,Southern Europe,Account 240 GmbH,Greece,Computacenter,Existing Business - Renewal,2 - Approved,,2026-08-28
DR-2144,2026-02-24,Sigrid Halvorsen,Mollie Shaw,UKI/Nordics,Account 144 Group,Norway,Northbridge Data,New Logo,2 - Approved,229000,2026-04-05
DR-1800,2025-09-19,Callum Reid,Priya Raman,EMEA - Other,Account 200 Holdings,Sweden,TD Synnex,New Business,0 - Closed Lost,128000,2025-12-15
DR-1898,2025-10-02,Sigrid Halvorsen,Priya Raman,,Account 298 Group,Denmark,Arrow ECS,New Business,2 - Approved,"EUR 95,000.00",2026-03-18
DR-2523,12/06/2026,Lukas Brandt,Lena Wirth,dach pod,Account 123 Group,Switzerland,Bechtle AG,New Logo,6 - Negotiation,173000,2026-09-17
DR-1692,2025-06-19,Lukas Brandt,Lena Wirth,DACH,Account 092 SpA,Switzerland,Econocom,New Business,7 - Closed Won,42000,2025-11-29
DR-1440,2025-03-02,Marco Ferrari,Paulo Neves,EMEA - Southern Europe,Account 240 GmbH,Italy,Northbridge Data,Migration,0 - Closed Lost,"$74,000",2025-05-01
DR-2190,2026-02-12,Lukas Brandt,,dach pod,Account 190 SpA,Austria,Northbridge Data,Add-On,4 - Technical Validation,160000,2026-06-11
DR-1268,2025-01-26,Niamh O'Connor,Mollie Shaw,EMEA - UKI & Nordics - Commercial,Account 068 Ltd,Denmark,Cancom,New Business,0 - Closed Lost,35000,2025-08-10
DR-1139,2024-10-07,Katharina Vogel,,dach pod,Account 339 GmbH,Austria,Bechtle AG,Upsell,7 - Closed Won,208000,2025-03-03
DR-2180,2026-02-22,Nadia Keller,,EMEA - DACH - Enterprise,Account 180 Group,Switzerland,SHI EMEA,New Logo,3 - Discovery,202000,2026-04-17
DR-1061,05/09/2024,Stefan Huber,Lena Wirth,EMEA - DACH - Enterprise,Account 261 Holdings,Germany,TD Synnex,New Business,4 - Technical Validation,"$111,000",2025-02-20
DR-1388,01 Feb 2025,Lukas Brandt,Lena Wirth,EMEA - DACH - Enterprise,Account 188 SpA,Germany,Ingram Micro,New Business,7 - Closed Won,"EUR 62,000.00",2025-06-27
DR-1461,2025-03-14,Lukas Brandt,,EMEA - DACH - Enterprise,Account 261 GmbH,Germany,Bechtle AG,New Business,7 - Closed Won,"EUR 64,000.00",2025-09-18
DR-2209,2026-03-23,Aoife Brennan,Priya Raman,UKI/Nordics,Account 209 Holdings,Ireland,Northbridge Data,Upsell,4 - Technical Validation,140000,2026-07-23
DR-1634,2025-06-01,Sigrid Halvorsen,,EMEA - UKI & Nordics - Commercial,Account 034 Group,Sweden,Econocom,Add-On,7 - Closed Won,"$30,000",2025-12-02
DR-2320,2026-04-19,Sofia Almeida,Paulo Neves,Iberia,Account 320 Group,Spain,TD Synnex,New Logo,0 - Closed Lost,,2026-08-01
DR-2357,2026-04-24,Stefan Huber,Tobias Frank,EMEA - DACH - Enterprise,Account 357 GmbH,Germany,Northbridge Data,Existing Business - Add-On,6 - Negotiation,"EUR 152,000.00",2026-08-06
DR-1090,2024-10-12,Aoife Brennan,Dan Eriksen,UKI & Nordics,Account 290 SAS,Finland,Computacenter,Migration,7 - Closed Won,70000,2025-01-09
DR-1737,04 Jul 2025,Katharina Vogel,,dach pod,Account 137 SpA,Switzerland,Softcat,New Business,7 - Closed Won,,2026-01-06
DR-2252,2026-03-15,Sofia Almeida,Chiara Bruno,EMEA - Southern Europe,Account 252 Holdings,Italy,Bechtle AG,New Logo,2 - Approved,"$114,000",2026-09-09
DR-1294,2025-01-01,Yannis Papadakis,,EMEA - Southern Europe,Account 094 Group,France,Ingram Micro,Add-On,7 - Closed Won,"$11,000",2025-03-31
DR-1043,07/09/2024,Julien Marchand,,SEMEA,Account 243 SpA,Israel,Ingram Micro,New Business,Expired,133000,2024-12-16
DR-2525,2026-07-01,Aoife Brennan,,UKI/Nordics,Account 125 GmbH,Ireland,Ingram Micro,Competitive Migration,6 - Negotiation,"EUR 166,000.00",2026-08-16
DR-1840,2025-09-24,Yannis Papadakis,Chiara Bruno,Iberia,Account 240 GmbH,Portugal,TD Synnex,Existing Business - Add-On,7 - Closed Won,"$166,000",2026-01-28
DR-2512,02/06/2026,Lukas Brandt,Tobias Frank,EMEA - DACH - Enterprise,Account 112 Ltd,Switzerland,Bechtle AG,Competitive Migration,3 - Discovery,"EUR 128,000.00",2026-08-11
DR-1805,2025-09-08,Tom Whitfield,Priya Raman,,Account 205 Group,Ireland,Econocom,New Business,Expired,"EUR 34,000.00",2026-03-21
DR-1223,2024-12-05,Niamh O'Connor,,UKI & Nordics,Account 023 Ltd,Sweden,Cancom,Existing Business - Renewal,7 - Closed Won,30000,2025-04-27
DR-1722,16 Jul 2025,Niamh O'Connor,Priya Raman,,Account 122 AB,United Kingdom,SHI EMEA,New Business,3 - Discovery,,2025-09-02
DR-1934,2025-10-12,Jonas Richter,,EMEA - DACH - Enterprise,Account 334 GmbH,Switzerland,SHI EMEA,Add-On,4 - Technical Validation,"$116,000",2025-12-19
DR-1843,2025-09-12,Elena Castells,Paulo Neves,Iberia,Account 243 GmbH,Italy,Cancom,New Business,0 - Closed Lost,36000,2025-12-29
DR-1916,2025-10-28,Yannis Papadakis,Paulo Neves,SEMEA,Account 316 GmbH,Israel,Computacenter,New Business,0 - Closed Lost,"EUR 218,000.00",2026-02-15
DR-1154,2024-11-27,Niamh O'Connor,,EMEA - UKI & Nordics - Commercial,Account 354 Group,Sweden,Bechtle AG,New Business,7 - Closed Won,"$41,000",2025-03-04
DR-2188,2026-02-17,Katharina Vogel,,dach pod,Account 188 Ltd,Switzerland,Northbridge Data,New Logo,0 - Closed Lost,"EUR 60,000.00",2026-06-05
DR-1723,15 Jul 2025,Callum Reid,Priya Raman,UKI & Nordics,Account 123 Group,Sweden,Ingram Micro,New Business,0 - Closed Lost,176000,2025-09-25
DR-2535,2026-07-07,Aoife Brennan,Mollie Shaw,EMEA - UKI & Nordics - Commercial,Account 135 Holdings,Sweden,Computacenter,Renewal,4 - Technical Validation,"EUR 50,000.00",2026-09-29
DR-1325,2025-01-25,Lukas Brandt,Lena Wirth,dach pod,Account 125 SAS,Switzerland,Computacenter,New Business,0 - Closed Lost,"$150,000",2025-03-13
DR-2564,2026-07-23,Lukas Brandt,Tobias Frank,DACH,Account 164 AB,Austria,Arrow ECS,New Logo,6 - Negotiation,102000,2026-11-17
DR-2043,07 Dec 2025,Marco Ferrari,,SEMEA,Account 043 Holdings,Greece,Ingram Micro,Existing Business - Renewal,7 - Closed Won,"EUR 184,000.00",2026-05-02
DR-2600,2026-08-25,Lukas Brandt,Lena Wirth,DACH,Account 200 GmbH,Austria,Softcat,New Logo,1 - Submitted,59000,2026-09-22
DR-1728,24 Jul 2025,Marco Ferrari,Chiara Bruno,EMEA - Southern Europe,Account 128 Ltd,France,Econocom,Renewal,0 - Closed Lost,"$21,000",2025-09-14
DR-2225,2026-03-03,Sigrid Halvorsen,Dan Eriksen,,Account 225 Ltd,Sweden,Cancom,New Logo,6 - Negotiation,"$232,000",2026-04-08
DR-1797,2025-09-13,Aoife Brennan,,UKI & Nordics,Account 197 Holdings,Denmark,Computacenter,New Business,0 - Closed Lost,"$210,000",2026-01-05
DR-2435,05/06/2026,Tom Whitfield,,Nordics,Account 035 GmbH,Norway,Ingram Micro,Existing Business - Add-On,6 - Negotiation,"EUR 209,000.00",2026-12-06
DR-1548,2025-05-24,Sigrid Halvorsen,Mollie Shaw,EMEA - UKI & Nordics - Commercial,Account 348 Holdings,Denmark,Arrow ECS,Renewal,7 - Closed Won,,2025-12-08
DR-2577,2026-08-19,Tom Whitfield,,EMEA - UKI & Nordics - Commercial,Account 177 Ltd,Finland,Bechtle AG,New Logo,7 - Closed Won,"EUR 92,000.00",2026-11-24
DR-1272,2025-01-14,Tom Whitfield,Dan Eriksen,Nordics,Account 072 Ltd,Ireland,TD Synnex,New Business,Rejected - Duplicate,"$63,000",2025-03-25
DR-2030,08 Dec 2025,Sigrid Halvorsen,Dan Eriksen,Nordics,Account 030 Group,Finland,Econocom,New Logo,3 - Discovery,"$190,000",2026-05-04
DR-1749,2025-08-16,Aoife Brennan,Dan Eriksen,UKI & Nordics,Account 149 AB,Ireland,Cancom,New Business,7 - Closed Won,"EUR 121,000.00",2025-12-30
DR-1423,2025-03-16,Niamh O'Connor,,UKI & Nordics,Account 223 SAS,Ireland,Cancom,New Business,7 - Closed Won,"EUR 60,000.00",2025-05-23
DR-2605,2026-08-24,Lukas Brandt,Tobias Frank,DACH,Account 205 AB,Austria,Softcat,New Logo,3 - Discovery,,2026-12-21
DR-1009,02/09/2024,Aoife Brennan,Priya Raman,UKI & Nordics,Account 209 SpA,United Kingdom,Ingram Micro,New Business,0 - Closed Lost,"$231,000",2025-02-12
DR-1774,2025-08-07,Marco Ferrari,,Iberia,Account 174 SpA,Greece,Econocom,New Business,7 - Closed Won,"$199,000",2025-11-25
DR-1881,2025-10-18,Tom Whitfield,Dan Eriksen,UKI/Nordics,Account 281 AB,United Kingdom,Computacenter,Existing Business - Add-On,0 - Closed Lost,133000,2026-02-11
DR-1474,2025-03-08,Jonas Richter,,DACH,Account 274 Holdings,Switzerland,Computacenter,Existing Business - Renewal,Rejected - Duplicate,77000,2025-08-13
DR-1108,2024-10-20,Sigrid Halvorsen,Priya Raman,EMEA - UKI & Nordics - Commercial,Account 308 Group,Denmark,Econocom,Renewal,0 - Closed Lost,236000,2025-01-02
DR-1646,2025-06-04,Aoife Brennan,Priya Raman,Nordics,Account 046 AB,United Kingdom,Northbridge Data,New Business,0 - Closed Lost,205000,2025-11-22
DR-2275,2026-03-01,Katharina Vogel,Tobias Frank,EMEA - DACH - Enterprise,Account 275 Ltd,Switzerland,Econocom,Upsell,0 - Closed Lost,191000,2026-08-13
DR-1739,16 Jul 2025,Katharina Vogel,,DACH,Account 139 AB,Austria,Arrow ECS,New Business,7 - Closed Won,"$178,000",2025-09-25
DR-1345,16 Feb 2025,Tom Whitfield,,Nordics,Account 145 AB,Sweden,TD Synnex,New Business,0 - Closed Lost,158000,2025-04-02
DR-2572,2026-08-27,Erik Lindqvist,Priya Raman,UKI/Nordics,Account 172 Group,Ireland,Cancom,Upsell,5 - Proposal,70000,2027-01-06
DR-1536,26/04/2025,Katharina Vogel,,DACH,Account 336 Group,Germany,Softcat,New Business,7 - Closed Won,160000,2025-06-11
DR-1006,04/09/2024,Sigrid Halvorsen,,UKI & Nordics,Account 206 SpA,United Kingdom,Computacenter,Add-On,7 - Closed Won,"EUR 39,000.00",2024-12-24
DR-2121,2026-02-16,Callum Reid,Dan Eriksen,Nordics,Account 121 SpA,Finland,Arrow ECS,Add-On,7 - Closed Won,"$160,000",2026-07-14
DR-1046,14/09/2024,Yannis Papadakis,Paulo Neves,EMEA - Southern Europe,Account 246 Holdings,Spain,Softcat,Existing Business - Renewal,,225000,2025-02-06
DR-1563,2025-05-01,Sigrid Halvorsen,,EMEA - UKI & Nordics - Commercial,Account 363 AB,Sweden,Computacenter,New Business,7 - Closed Won,"EUR 157,000.00",2025-10-11
DR-2447,23/06/2026,Tom Whitfield,Priya Raman,UKI/Nordics,Account 047 SpA,Sweden,TD Synnex,Renewal,0 - Closed Lost,"EUR 64,000.00",2026-12-10
DR-1906,2025-10-24,Julien Marchand,Paulo Neves,SEMEA,Account 306 Group,Italy,Bechtle AG,Existing Business - Renewal,5 - Proposal,"EUR 111,000.00",2026-01-25
DR-1438,2025-03-12,Yannis Papadakis,Chiara Bruno,Southern Europe,Account 238 Ltd,Greece,SHI EMEA,Renewal,3 - Discovery,"$230,000",2025-06-03
DR-2540,2026-07-22,Sigrid Halvorsen,Mollie Shaw,UKI & Nordics,Account 140 GmbH,United Kingdom,Cancom,Add-On,3 - Discovery,,2026-08-19
DR-1718,24 Jul 2025,Niamh O'Connor,,UKI/Nordics,Account 118 Holdings,Norway,TD Synnex,Existing Business - Renewal,Rejected - Duplicate,"$92,000",2025-09-28
DR-1221,2024-12-18,Aoife Brennan,,UKI/Nordics,Account 021 Group,Denmark,Computacenter,New Business,0 - Closed Lost,114000,2025-06-25
DR-1990,08/11/2025,Katharina Vogel,,dach pod,Account 390 GmbH,Austria,SHI EMEA,Competitive Migration,0 - Closed Lost,"$202,000",2025-12-16
DR-2595,2026-08-18,Marco Ferrari,Chiara Bruno,Iberia,Account 195 AB,France,Cancom,Existing Business - Renewal,1 - Submitted,32000,2027-03-04
DR-1997,25/11/2025,Katharina Vogel,Tobias Frank,dach pod,Account 397 SAS,Switzerland,Arrow ECS,Upsell,2 - Approved,"EUR 24,000.00",2026-06-03
DR-1775,2025-08-24,Marco Ferrari,,Iberia,Account 175 Holdings,Greece,Bechtle AG,New Business,7 - Closed Won,,2025-11-25
DR-1344,27 Feb 2025,Tom Whitfield,Priya Raman,UKI/Nordics,Account 144 GmbH,Ireland,Bechtle AG,New Business,7 - Closed Won,"EUR 169,000.00",2025-07-14
DR-1845,2025-09-06,Yannis Papadakis,Chiara Bruno,Iberia,Account 245 GmbH,Greece,Softcat,Renewal,4 - Technical Validation,"$136,000",2025-10-25
DR-2233,2026-03-04,Yannis Papadakis,,EMEA - Other,Account 233 AB,Spain,Ingram Micro,Existing Business - Renewal,5 - Proposal,,2026-08-12
DR-2257,2026-03-09,Nadia Keller,,dach pod,Account 257 Group,Germany,SHI EMEA,Add-On,6 - Negotiation,216000,2026-07-14
DR-2415,19 May 2026,Katharina Vogel,,EMEA - DACH - Enterprise,Account 015 Ltd,Germany,Softcat,New Logo,1 - Submitted,,2026-10-26
DR-1228,2024-12-19,Tom Whitfield,Dan Eriksen,Nordics,Account 028 Holdings,United Kingdom,SHI EMEA,New Business,3 - Discovery,"$231,000",2025-05-25
DR-1867,2025-09-01,Lukas Brandt,Tobias Frank,DACH,Account 267 SAS,Switzerland,Cancom,Add-On,0 - Closed Lost,"$238,000",2025-12-29
DR-2066,2026-01-21,Erik Lindqvist,,UKI & Nordics,Account 066 SAS,Norway,Softcat,Add-On,1 - Submitted,120000,2026-04-01
DR-2339,2026-04-28,Lukas Brandt,Tobias Frank,dach pod,Account 339 AB,Switzerland,Ingram Micro,Renewal,3 - Discovery,"EUR 111,000.00",2026-05-29
DR-1338,23 Feb 2025,Sigrid Halvorsen,Priya Raman,UKI/Nordics,Account 138 AB,Finland,SHI EMEA,Migration,0 - Closed Lost,"$181,000",2025-09-09
DR-1004,28/09/2024,Sigrid Halvorsen,Dan Eriksen,EMEA - UKI & Nordics - Commercial,Account 204 GmbH,Denmark,Cancom,Renewal,Expired,229000,2025-01-10
DR-1759,2025-08-18,Aoife Brennan,Mollie Shaw,UKI/Nordics,Account 159 Ltd,Norway,TD Synnex,Add-On,7 - Closed Won,"EUR 181,000.00",2025-12-23
DR-2578,2026-08-01,Tom Whitfield,,UKI & Nordics,Account 178 Holdings,Sweden,Northbridge Data,New Logo,4 - Technical Validation,129000,2026-09-12
DR-2670,2024-06-06,Lukas Brandt,Tobias Frank,DACH,Old Account 016,Germany,Softcat,New Business,7 - Closed Won,120000,2024-09-30
DR-1740,11 Jul 2025,Stefan Huber,Lena Wirth,dach pod,Account 140 SAS,Germany,Computacenter,Upsell,7 - Closed Won,"EUR 203,000.00",2025-08-30
DR-1458,2025-03-15,Katharina Vogel,Tobias Frank,DACH,Account 258 SpA,Austria,Northbridge Data,New Business,7 - Closed Won,37000,2025-04-11
DR-1676,2025-06-28,Lukas Brandt,Tobias Frank,dach pod,Account 076 Group,Austria,Bechtle AG,Renewal,0 - Closed Lost,,2026-01-04
DR-1765,2025-08-10,Callum Reid,Priya Raman,Nordics,Account 165 Holdings,Denmark,SHI EMEA,New Business,5 - Proposal,"EUR 88,000.00",2025-10-16
DR-1249,2024-12-07,Katharina Vogel,Lena Wirth,DACH,Account 049 SAS,Austria,Ingram Micro,New Business,0 - Closed Lost,"EUR 169,000.00",2025-03-14
DR-1619,2025-05-06,Katharina Vogel,,DACH,Account 019 Ltd,Germany,Bechtle AG,Existing Business - Renewal,Rejected - Duplicate,"EUR 114,000.00",2025-08-06
DR-2057,09 Dec 2025,Lukas Brandt,,dach pod,Account 057 SpA,Germany,Econocom,New Logo,7 - Closed Won,,2026-01-14
DR-1399,2025-03-20,Tom Whitfield,,UKI & Nordics,Account 199 Holdings,Norway,Ingram Micro,Upsell,,87000,2025-08-13
DR-1354,22 Feb 2025,Aoife Brennan,Priya Raman,UKI & Nordics,Account 154 Group,United Kingdom,Softcat,New Business,Expired,"EUR 207,000.00",2025-07-06
DR-1506,03/04/2025,Elena Castells,Chiara Bruno,Iberia,Account 306 SAS,Israel,Northbridge Data,New Business,7 - Closed Won,"$105,000",2025-09-11
DR-1107,2024-10-24,Tom Whitfield,,Nordics,Account 307 AB,Ireland,Arrow ECS,Existing Business - Renewal,0 - Closed Lost,"EUR 203,000.00",2024-12-24
DR-2555,2026-07-15,Katharina Vogel,Lena Wirth,EMEA - DACH - Enterprise,Account 155 Ltd,Austria,Softcat,Renewal,3 - Discovery,150000,2026-12-21
DR-2009,03 Dec 2025,Erik Lindqvist,,Nordics,Account 009 Group,Finland,SHI EMEA,Existing Business - Add-On,3 - Discovery,"$48,000",2026-03-16
DR-1664,2025-06-04,Sofia Almeida,Chiara Bruno,Southern Europe,Account 064 Holdings,Israel,Bechtle AG,Existing Business - Add-On,Expired,210000,2025-08-16
DR-1049,11/09/2024,Marco Ferrari,,Southern Europe,Account 249 SAS,Greece,Econocom,New Business,0 - Closed Lost,,2025-01-24
DR-2677,2024-06-02,Lukas Brandt,Tobias Frank,DACH,Old Account 023,Germany,Softcat,New Business,7 - Closed Won,120000,2024-09-30
DR-1851,2025-09-22,Stefan Huber,Tobias Frank,DACH,Account 251 SAS,Switzerland,Ingram Micro,Upsell,Rejected - Duplicate,"EUR 20,000.00",2026-02-06
DR-2085,2026-01-14,Erik Lindqvist,Mollie Shaw,UKI/Nordics,Account 085 Holdings,Sweden,Econocom,Renewal,1 - Submitted,"$11,000",2026-06-28
DR-1497,01/04/2025,Tom Whitfield,Mollie Shaw,Nordics,Account 297 SpA,Norway,Cancom,New Business,7 - Closed Won,"EUR 88,000.00",2025-06-03
DR-2348,2026-04-07,Katharina Vogel,Tobias Frank,DACH,Account 348 AB,Switzerland,TD Synnex,Add-On,0 - Closed Lost,"EUR 146,000.00",2026-05-22
